,area_metro_quadrado_int,quartos_int,banheiros_int,vagas_int,preco_anuncio_float
3262,482,4,5,5,9050000.0
3264,600,4,4,4,12720000.0
3265,274,3,5,3,1950000.0
3266,372,4,5,6,2500000.0
3267,324,4,5,3,3500000.0
3268,704,4,2,7,2500000.0
3269,450,4,5,4,2970000.0
3270,1050,3,6,9,7800000.0
3271,266,3,3,3,2000000.0
3272,126,1,1,2,2500000.0
3273,918,5,7,10,9000000.0
3274,233,3,3,2,4950000.0
3275,402,3,1,4,3800000.0
3277,688,4,5,6,4500000.0
3278,404,4,5,4,1600000.0
3280,650,3,5,6,13900000.0
3281,475,5,3,4,4000000.0
3282,656,3,4,5,5300000.0
3284,170,2,2,3,1200000.0
3285,450,2,3,6,17000000.0
3287,368,3,5,4,2500000.0
3288,450,4,5,6,2150000.0
3289,422,4,4,6,4500000.0
3290,220,3,2,2,1880000.0
3291,1000,4,3,4,8990000.0
3292,44,1,1,1,345000.0
3293,356,4,7,5,3850000.0
3294,290,4,3,4,2230000.0
3296,180,3,2,2,899990.0
3297,140,4,3,2,1470000.0
3298,482,4,5,5,9050000.0
3300,600,4,4,4,12720000.0
3301,390,4,3,3,3200000.0
3302,223,3,3,4,950000.0
3303,750,4,7,4,8400000.0
3304,350,5,4,3,2700000.0
3305,1500,5,5,10,10000000.0
3306,160,2,2,2,1100000.0
3307,159,3,2,2,1200000.0
3308,400,3,4,6,7200000.0
3309,780,5,5,4,7500000.0
3310,425,4,4,2,3800000.0
3311,1150,5,8,8,27000000.0
3312,269,3,3,4,1950000.0
3313,323,3,5,4,1850000.0
3314,300,6,5,3,1000000.0
3315,300,4,4,2,4250000.0
3316,106,3,4,2,695000.0
3317,181,2,3,1,650000.0
3318,379,3,5,5,4300000.0
3319,581,4,3,10,25000000.0
3320,125,3,3,2,455000.0
3321,350,4,6,4,3500000.0
3322,700,4,7,6,5000000.0
3323,650,4,4,7,5500000.0
3325,450,4,7,4,5500000.0
3326,936,4,6,6,26000000.0
3327,488,5,5,8,3500000.0
3328,341,3,5,4,3500000.0
3330,120,3,2,2,580000.0
3332,1280,5,8,4,3500000.0
3333,200,2,3,2,2900000.0
3334,1200,4,4,7,25600000.0
3335,420,3,3,3,6800000.0
